method,seed,episode,reward,num_iterations,stopped_reason,planted_blame,lowest_credit_agent,blame_credit
end_to_end,20260417,0,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,1,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,2,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,3,0.0000,2,stagnant,DocumentAnalysisAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,4,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,5,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,6,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,7,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,8,1.0000,1,complete,,DocumentAnalysisAgent,
end_to_end,20260417,9,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,10,0.0000,2,stagnant,ValidatorAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,11,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,12,0.0000,2,stagnant,SchemaAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,13,0.0000,2,stagnant,ValidatorAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,14,0.0000,2,stagnant,QAAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,15,0.0000,2,stagnant,ValidatorAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,16,0.0000,2,stagnant,SchemaAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,17,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,18,1.0000,2,complete,,DocumentAnalysisAgent,
end_to_end,20260417,19,1.0000,1,complete,,DocumentAnalysisAgent,
end_to_end,20260417,20,0.0000,2,stagnant,ValidatorAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,21,0.0000,2,stagnant,LogParserAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,22,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,23,0.0000,2,stagnant,QAAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,24,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,25,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,26,0.0000,2,stagnant,QAAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,27,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,28,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,29,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,30,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,31,0.0000,2,stagnant,LogParserAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,32,0.0000,2,stagnant,DocumentAnalysisAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,33,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,34,0.0000,2,stagnant,LogParserAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,35,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,36,0.0000,2,stagnant,QAAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,37,0.0000,2,stagnant,QAAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,38,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,39,0.0000,2,stagnant,,DocumentAnalysisAgent,
end_to_end,20260417,40,0.0000,2,stagnant,BuilderAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,41,0.0000,2,stagnant,ValidatorAgent,DocumentAnalysisAgent,0.0000
end_to_end,20260417,42,0.0000,2,stagnant,,DocumentAnalysisAgent,
