"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TE7HIHU5","conferencePaper","2021","Triantafyllou, Stelios; Singla, Adish; Radanovic, Goran","On Blame Attribution for Accountable Multi-Agent Sequential Decision Making","Advances in Neural Information Processing Systems","","","","https://proceedings.neurips.cc/paper/2021/hash/848c4965359e617d5e16c924b4a85fd9-Abstract.html","","2021","2026-04-16 08:53:45","2026-04-16 08:53:45","2026-04-16 08:53:45","15774–15786","","","34","","","","","","","","Curran Associates, Inc.","","","","","","","Neural Information Processing Systems","","","","/Users/atharva/Zotero/storage/8M2WQ32N/Triantafyllou et al. - 2021 - On Blame Attribution for Accountable Multi-Agent Sequential Decision Making.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L264ELAM","journalArticle","2022","Wang, Jianhong","Shapley Value Based Multi-Agent Reinforcement Learning: Theory, Method and Its Application to Energy Network","","","","10.25560/109306","http://arxiv.org/abs/2402.15324","Multi-agent reinforcement learning is an area of rapid advancement in artificial intelligence and machine learning. One of the important questions to be answered is how to conduct credit assignment in a multi-agent system. There have been many schemes designed to conduct credit assignment by multi-agent reinforcement learning algorithms. Although these credit assignment schemes have been proved useful in improving the performance of multi-agent reinforcement learning, most of them are designed heuristically without a rigorous theoretic basis and therefore infeasible to understand how agents cooperate. In this thesis, we aim at investigating the foundation of credit assignment in multi-agent reinforcement learning via cooperative game theory. We first extend a game model called convex game and a payoff distribution scheme called Shapley value in cooperative game theory to Markov decision process, named as Markov convex game and Markov Shapley value respectively. We represent a global reward game as a Markov convex game under the grand coalition. As a result, Markov Shapley value can be reasonably used as a credit assignment scheme in the global reward game. Markov Shapley value possesses the following virtues: (i) efficiency; (ii) identifiability of dummy agents; (iii) reflecting the contribution and (iv) symmetry, which form the fair credit assignment. Based on Markov Shapley value, we propose three multi-agent reinforcement learning algorithms called SHAQ, SQDDPG and SMFPPO. Furthermore, we extend Markov convex game to partial observability to deal with the partially observable problems, named as partially observable Markov convex game. In application, we evaluate SQDDPG and SMFPPO on the real-world problem in energy networks.","2022-12","2026-04-16 08:51:04","2026-04-16 08:51:04","2026-04-16 08:51:04","","","","","","","Shapley Value Based Multi-Agent Reinforcement Learning","","","","","","","","","","","","arXiv.org","","arXiv:2402.15324 [cs]","","/Users/atharva/Zotero/storage/R24NJEX8/Wang - 2022 - Shapley Value Based Multi-Agent Reinforcement Learning Theory, Method and Its Application to Energy.pdf; /Users/atharva/Zotero/storage/Q83RUPMD/2402.html","","","Computer Science - Machine Learning; Computer Science - Multiagent Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XYHGH79Q","journalArticle","2020","Wang, Jianhong; Zhang, Yuan; Kim, Tae-Kyun; Gu, Yunjie","Shapley Q-value: A Local Reward Approach to Solve Global Reward Games","Proceedings of the AAAI Conference on Artificial Intelligence","","2374-3468, 2159-5399","10.1609/aaai.v34i05.6220","http://arxiv.org/abs/1907.05707","Cooperative game is a critical research area in the multi-agent reinforcement learning (MARL). Global reward game is a subclass of cooperative games, where all agents aim to maximize the global reward. Credit assignment is an important problem studied in the global reward game. Most of previous works stood by the view of non-cooperative-game theoretical framework with the shared reward approach, i.e., each agent being assigned a shared global reward directly. This, however, may give each agent an inaccurate reward on its contribution to the group, which could cause inefficient learning. To deal with this problem, we i) introduce a cooperative-game theoretical framework called extended convex game (ECG) that is a superset of global reward game, and ii) propose a local reward approach called Shapley Q-value. Shapley Q-value is able to distribute the global reward, reflecting each agent's own contribution in contrast to the shared reward approach. Moreover, we derive an MARL algorithm called Shapley Q-value deep deterministic policy gradient (SQDDPG), using Shapley Q-value as the critic for each agent. We evaluate SQDDPG on Cooperative Navigation, Prey-and-Predator and Traffic Junction, compared with the state-of-the-art algorithms, e.g., MADDPG, COMA, Independent DDPG and Independent A2C. In the experiments, SQDDPG shows a significant improvement on the convergence rate. Finally, we plot Shapley Q-value and validate the property of fair credit assignment.","2020-04-03","2026-04-16 08:46:02","2026-04-16 08:46:02","2026-04-16 08:46:02","7285-7292","","05","34","","AAAI","Shapley Q-value","","","","","","","","","","","","arXiv.org","","arXiv:1907.05707 [cs]","","/Users/atharva/Zotero/storage/964ZUB59/Wang et al. - 2020 - Shapley Q-value A Local Reward Approach to Solve Global Reward Games.pdf; /Users/atharva/Zotero/storage/KI3SBVMU/1907.html","","","Computer Science - Machine Learning; Computer Science - Artificial Intelligence; Computer Science - Multiagent Systems","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYPUYSVJ","journalArticle","2023","Chhablani, Chirag","An Analysis of Connections Between Regret Minimization and Actor Critic Methods in Cooperative Settings","","","","","","Counterfactual Multi-agent Policy Gradients (COMA) is a popular algorithm for learning in cooperative multi-agent reinforcement learning settings. COMA computes difference rewards to solve the multiagent credit assignment problem by providing a local learning signal for each agent. Similar to other popular Cooperative multiagent RL (MARL) algorithms, there is a lack of theoretical justification for COMA’s empirical success and specific way of doing credit assignment using difference rewards. We provide such a justification by connecting COMA’s update rule to regret minimization. We then use this connection to improve COMA’s performance by replacing usual softmax update with Neural Replicator Dynamics update from regret minimization literature. Experimental results on Starcraft II maps show the relevance of these theoretical insights for the performance of COMA in practice.","2023","2026-04-16 08:21:20","2026-04-16 08:21:20","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/atharva/Zotero/storage/QYZUN6H5/Chhablani - 2023 - An Analysis of Connections Between Regret Minimization and Actor Critic Methods in Cooperative Setti.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXT9HRT5","preprint","2024","Foerster, Jakob; Farquhar, Gregory; Afouras, Triantafyllos; Nardelli, Nantas; Whiteson, Shimon","Counterfactual Multi-Agent Policy Gradients","","","","10.48550/arXiv.1705.08926","http://arxiv.org/abs/1705.08926","Cooperative multi-agent systems can be naturally used to model many real world problems, such as network packet routing and the coordination of autonomous vehicles. There is a great need for new reinforcement learning methods that can efficiently learn decentralised policies for such systems. To this end, we propose a new multi-agent actor-critic method called counterfactual multi-agent (COMA) policy gradients. COMA uses a centralised critic to estimate the Q-function and decentralised actors to optimise the agents' policies. In addition, to address the challenges of multi-agent credit assignment, it uses a counterfactual baseline that marginalises out a single agent's action, while keeping the other agents' actions fixed. COMA also uses a critic representation that allows the counterfactual baseline to be computed efficiently in a single forward pass. We evaluate COMA in the testbed of StarCraft unit micromanagement, using a decentralised variant with significant partial observability. COMA significantly improves average performance over other multi-agent actor-critic methods in this setting, and the best performing agents are competitive with state-of-the-art centralised controllers that get access to the full state.","2024-12-11","2026-04-16 08:19:50","2026-04-16 08:19:50","2026-04-16 08:19:50","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1705.08926 [cs]","","/Users/atharva/Zotero/storage/4BFBPDPA/Foerster et al. - 2024 - Counterfactual Multi-Agent Policy Gradients.pdf; /Users/atharva/Zotero/storage/ARXCJXBK/1705.html","","","Computer Science - Artificial Intelligence; Computer Science - Multiagent Systems","","","","","","","","","","","","","","","","","","","arXiv:1705.08926","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7M5IJBPQ","journalArticle","","Ikram, Azam; Chakraborty, Sarthak; Mitra, Subrata; Saini, Shiv Kumar; Bagchi, Saurabh; Kocaoglu, Murat","Root Cause Analysis of Failures in Microservices through Causal Discovery","","","","","","Most cloud applications use a large number of smaller sub-components (called microservices) that interact with each other in the form of a complex graph to provide the overall functionality to the user. While the modularity of the microservice architecture is beneficial for rapid software development, maintaining and debugging such a system quickly in cases of failure is challenging. We propose a scalable algorithm for rapidly detecting the root cause of failures in complex microservice architectures. The key ideas behind our novel hierarchical and localized learning approach are: (1) to treat the failure as an intervention on the root cause to quickly detect it, (2) only learn the portion of the causal graph related to the root cause, thus avoiding a large number of costly conditional independence tests, and (3) hierarchically explore the graph. The proposed technique is highly scalable and produces useful insights about the root cause, while the use of traditional techniques becomes infeasible due to high computation time. Our solution is application agnostic and relies only on the data collected for diagnosis. For the evaluation, we compare the proposed solution with a modified version of the PC algorithm and the state-of-the-art for root cause analysis. The results show a considerable improvement in top-k recall while significantly reducing the execution time.","","2026-04-03 13:23:35","2026-04-03 13:23:35","","","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/atharva/Zotero/storage/Z97NV3MB/Ikram et al. - Root Cause Analysis of Failures in Microservices through Causal Discovery.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EBHT8LZ8","preprint","2025","Barrak, Amine","Traceability and Accountability in Role-Specialized Multi-Agent LLM Pipelines","","","","10.48550/arXiv.2510.07614","http://arxiv.org/abs/2510.07614","Sequential multi-agent systems built with large language models (LLMs) can automate complex software tasks, but they are hard to trust because errors quietly pass from one stage to the next. We study a traceable and accountable pipeline, meaning a system with clear roles, structured handoffs, and saved records that let us trace who did what at each step and assign blame when things go wrong. Our setting is a Planner -> Executor -> Critic pipeline. We evaluate eight configurations of three state-of-the-art LLMs on three benchmarks and analyze where errors start, how they spread, and how they can be fixed. Our results show: (1) adding a structured, accountable handoff between agents markedly improves accuracy and prevents the failures common in simple pipelines; (2) models have clear role-specific strengths and risks (e.g., steady planning vs. high-variance critiquing), which we quantify with repair and harm rates; and (3) accuracy-cost-latency trade-offs are task-dependent, with heterogeneous pipelines often the most efficient. Overall, we provide a practical, data-driven method for designing, tracing, and debugging reliable, predictable, and accountable multi-agent systems.","2025-10-08","2026-04-03 13:22:11","2026-04-03 13:22:11","2026-04-03 13:22:11","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2510.07614 [cs]","","/Users/atharva/Zotero/storage/FDU7I8ZF/Barrak - 2025 - Traceability and Accountability in Role-Specialized Multi-Agent LLM Pipelines.pdf; /Users/atharva/Zotero/storage/DHAR3SER/2510.html","","","Computer Science - Artificial Intelligence; Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","arXiv:2510.07614","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IBTSKW3C","preprint","2026","Wang, Zhaohui Geoffrey","AgentTrace: Causal Graph Tracing for Root Cause Analysis in Deployed Multi-Agent Systems","","","","10.48550/arXiv.2603.14688","http://arxiv.org/abs/2603.14688","As multi-agent AI systems are increasingly deployed in real-world settings - from automated customer support to DevOps remediation - failures become harder to diagnose due to cascading effects, hidden dependencies, and long execution traces. We present AgentTrace, a lightweight causal tracing framework for post-hoc failure diagnosis in deployed multi-agent workflows. AgentTrace reconstructs causal graphs from execution logs, traces backward from error manifestations, and ranks candidate root causes using interpretable structural and positional signals - without requiring LLM inference at debugging time. Across a diverse benchmark of multi-agent failure scenarios designed to reflect common deployment patterns, AgentTrace localizes root causes with high accuracy and sub-second latency, significantly outperforming both heuristic and LLM-based baselines. Our results suggest that causal tracing provides a practical foundation for improving the reliability and trustworthiness of agentic systems in the wild.","2026-03-27","2026-04-03 13:21:00","2026-04-03 13:21:00","2026-04-03 13:21:00","","","","","","","AgentTrace","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2603.14688 [cs]","","/Users/atharva/Zotero/storage/C2KT8BEI/Wang - 2026 - AgentTrace Causal Graph Tracing for Root Cause Analysis in Deployed Multi-Agent Systems.pdf; /Users/atharva/Zotero/storage/GIP2G8GR/2603.html","","","Computer Science - Machine Learning; Computer Science - Artificial Intelligence; Computer Science - Software Engineering","","","","","","","","","","","","","","","","","","","arXiv:2603.14688","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5K2NQAFU","bookSection","2023","Natan, Avraham; Stern, Roni; Kalech, Meir","Blame Attribution for Multi-Agent Path Finding Execution Failures","Frontiers in Artificial Intelligence and Applications","978-1-64368-436-9 978-1-64368-437-6","","10.3233/FAIA230462","https://ebooks.iospress.nl/doi/10.3233/FAIA230462","In Multi-Agent Systems (MAS), Multi-Agent Path Finding (MAPF) is the problem of ﬁnding a conﬂict-free plan for a group of agents from a set of starting points to a set of target points. Deviations from this plan are standard in real-world applications and may decrease overall system efﬁciency and even lead to accidents and deadlocks. In large MAS scenarios with physical robots, multiple faulty events occur over time, contributing to the overall degraded system performance. This raises the main problem we address in this work: how to attribute blame for a degraded MAS performance over a set of faulty events. We formally deﬁne this problem and propose using the Shapley values to solve it. Then, we propose an algorithm that efﬁciently approximates Shapley values by considering only some subsets of faulty events set. We analyze this algorithm theoretically and experimentally and demonstrate that it enables effectively trading off runtime for error.","2023-09-28","2026-04-03 13:20:08","2026-04-03 13:20:08","2026-04-03 13:20:08","","","","","","","","","","","","IOS Press","","en","https://creativecommons.org/licenses/by-nc/4.0/","","","","DOI.org (Crossref)","","","","/Users/atharva/Zotero/storage/G6BU55JS/Natan et al. - 2023 - Blame Attribution for Multi-Agent Path Finding Execution Failures.pdf","","","","Gal, Kobi; Nowé, Ann; Nalepa, Grzegorz J.; Fairstein, Roy; Rădulescu, Roxana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3783VF27","conferencePaper","2021","Triantafyllou, Stelios; Singla, Adish; Radanovic, Goran","On Blame Attribution for Accountable Multi-Agent Sequential Decision Making","Advances in Neural Information Processing Systems","","","","https://papers.nips.cc/paper/2021/hash/848c4965359e617d5e16c924b4a85fd9-Abstract.html","","2021","2026-03-31 11:55:53","2026-03-31 11:55:53","2026-03-31 11:55:53","15774–15786","","","34","","","","","","","","Curran Associates, Inc.","","","","","","","Neural Information Processing Systems","","","","/Users/atharva/Zotero/storage/6VA6FFSW/Triantafyllou et al. - 2021 - On Blame Attribution for Accountable Multi-Agent Sequential Decision Making.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
